track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
S-Class,Stray Kids,1,2023,6,2,290,19,65496046.0,9,101,5,0,73,F,Minor,89,67,78,9,0,7,33
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963.0,15,15,6,0,0,F,Major,67,24,78,15,0,30,4
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990.0,15,92,21,2,26,D,Major,85,53,68,40,0,9,4
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496.0,44,34,25,1,171,C#,Major,82,51,39,2,0,9,49
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,89933133.0,8,60,4,1,109,G#,Major,70,42,43,78,0,11,3
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139.0,10,79,2,0,42,F,Minor,80,85,74,62,0,8,9
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589.0,5,6,4,1,33,A#,Minor,73,45,62,28,0,13,13
FLOWER,JISOO,1,2023,3,31,839,18,232896922.0,20,110,20,0,69,A,Minor,84,64,39,3,0,11,4
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623.0,116,69,107,3,675,D,Major,78,39,53,30,0,11,6
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192.0,47,77,53,10,8,G#,Major,71,58,70,30,0,32,19
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314.0,41,69,38,0,36,F,Minor,72,45,59,14,0,20,21
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651.0,10,72,8,3,14,G#,Major,66,85,60,40,0,14,13
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538.0,1,0,9,0,0,F#,Minor,66,32,40,81,0,11,3
Normal,Feid,1,2022,7,8,2461,36,459276435.0,47,66,45,5,6,E,Minor,71,59,56,4,0,27,12
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666.0,7,29,51,1,29,F#,Major,63,75,92,31,0,91,5
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833.0,58,70,43,0,182,A#,Minor,82,54,44,6,0,33,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066.0,34,2,33,0,1,C#,Major,78,20,70,1,0,16,4
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829.0,72,27,47,0,0,B,Major,49,4,55,7,0,6,3
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294.0,258,87,657,22,9,F,Major,60,13,37,58,0,13,3
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339.0,7,2,30,1,11,A,Minor,84,55,47,26,0,20,64
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653.0,3,3,6,0,0,B,Major,83,25,69,4,0,23,12
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418.0,12,57,47,1,33,D,Major,67,55,67,60,0,80,5
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117.0,41,22,56,4,84,F#,Minor,84,96,79,43,0,18,11
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.0,3,79,21,1,54,F#,Minor,65,46,53,16,0,9,5
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741.0,109,42,158,3,31,G#,Major,44,27,32,89,0,14,5
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624.0,9,13,11,0,1,C#,Minor,62,56,66,18,0,12,5
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489.0,37,3,27,0,50,F#,Minor,50,44,76,10,0,32,5
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241.0,17,7,41,1,29,F#,Minor,77,69,58,39,0,26,5
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907.0,46,5,51,0,20,F,Major,44,36,41,50,0,38,5
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992.0,67,55,48,0,6,A,Major,51,27,33,48,0,22,3
I AM,IVE,1,2023,4,10,366,15,123132751.0,16,102,7,0,55,E,Minor,68,38,88,1,0,8,5
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518.0,0,0,6,0,0,F,Major,74,75,73,42,0,9,4
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075.0,8,14,12,2,33,D,Major,93,47,47,33,0,10,36
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.0,26,6,19,0,5,D,Major,72,40,47,71,0,13,4
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467.0,114,104,147,11,20,C#,Major,87,53,52,66,1,11,5
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946.0,0,0,0,0,0,A,Major,90,74,68,14,0,10,19
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338.0,4,64,4,2,37,A,Major,57,80,59,8,0,6,5
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978.0,8,84,5,1,4,E,Minor,76,80,81,19,0,6,9
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952.0,142,23,127,3,16,A#,Major,84,88,53,35,0,8,7
Punto G,Quevedo,1,2022,11,4,1985,35,381161027.0,34,26,37,5,1,B,Minor,75,55,76,25,0,10,15
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769.0,30,70,142,0,27,A#,Major,32,17,74,14,0,17,3
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801,1,105,C#,Major,45,17,60,21,0,33,4
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354.0,4,72,5,0,5,G,Major,62,32,76,0,0,39,4
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649.0,156,35,110,19,0,A#,Major,77,84,71,35,0,15,4
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958.0,247,54,"5,567",1,51,D,Major,70,6,73,1,0,36,26
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024.0,4,45,11,2,24,G,Minor,73,44,57,39,0,32,6
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995.0,20,8,15,0,6,F,Minor,65,71,56,4,0,15,20
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613.0,11,3,18,1,1,B,Minor,72,79,78,55,0,15,30
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350.0,23,0,18,0,33,G#,Major,71,80,65,51,0,22,32
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432.0,190,104,147,18,63,G#,Major,70,70,79,7,0,18,10
HAPPY,NF,1,2023,3,25,660,0,52722996.0,22,7,11,0,78,G,Major,73,22,86,31,0,12,4
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613.0,166,42,199,16,58,A#,Major,71,90,73,30,0,11,5
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608.0,30,84,88,1,28,F#,Major,74,79,87,45,0,30,3
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601.0,5,48,2,1,9,G,Minor,70,76,79,26,0,11,7
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767.0,81,27,66,9,444,G,Major,90,96,73,62,0,9,4
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549.0,28,57,43,8,85,F,Minor,76,46,79,31,0,7,6
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705.0,20,68,50,0,22,A#,Major,71,57,97,1,0,13,11
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144.0,52,66,55,1,16,F,Minor,95,43,69,47,0,9,31
I Love You So,The Walters,1,2014,11,28,7536,7,972164968.0,44,19,135,0,6,A#,Major,58,46,67,65,0,13,4
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682.0,71,53,181,0,10,F#,Major,60,77,78,45,0,12,6
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992.0,0,0,0,0,0,A#,Minor,71,41,31,79,0,10,5
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764.0,72,64,64,6,3,B,Minor,83,58,83,21,0,10,5
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037.0,39,0,"7,341",0,0,A,Major,50,24,86,0,0,64,4
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433.0,11,58,5,0,21,G,Major,61,92,91,0,0,26,3
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336.0,108,16,197,3,165,F#,Minor,59,20,74,1,0,15,5
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254.0,29,3,18,0,19,C#,Minor,84,44,67,8,0,11,6
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148.0,11,54,0,0,103,G#,Major,56,72,85,0,0,15,3
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800.0,61,6,48,0,150,F,Major,57,68,76,7,0,33,3
LET GO,Central Cee,1,2022,12,15,2301,20,298063749.0,49,23,110,0,8,D,Minor,74,51,45,86,0,21,38
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389.0,45,11,20,0,21,C#,Major,70,29,73,12,0,11,26
Hype Boy,NewJeans,1,2022,8,1,892,17,363472647.0,20,119,12,2,7,E,Minor,59,78,94,27,0,29,23
Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,372476382.0,66,26,277,3,734,A,Minor,59,49,65,2,0,13,3
ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272.0,6,15,0,0,0,D,Major,49,48,67,10,0,26,3
In The End,Linkin Park,1,2000,10,24,25065,6,1624165576.0,63,0,"6,808",2,0,D#,Minor,55,40,90,1,0,32,6
Lovezinho,Treyce,1,2022,7,28,242,0,70069745.0,12,2,13,0,4,E,Minor,82,61,59,30,0,12,4
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665.0,6,1,21,0,1,C#,Major,53,40,36,73,0,11,33
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,6180,7,1223481149.0,122,88,580,21,10,B,Minor,72,59,76,24,0,42,28
Revenge,XXXTENTACION,1,2017,8,25,3600,11,1022258230.0,7,0,203,0,2,B,Minor,75,18,25,78,0,11,26
LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28,6398,31,1435127549.0,177,109,305,3,5,G,Major,75,43,65,15,0,11,32
About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473.0,0,0,25,0,0,A#,Minor,84,72,74,10,0,34,7
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20,685,14,403097450.0,24,94,9,0,23,F#,Minor,60,52,76,17,0,19,5
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,2460,13,309483971.0,53,7,56,3,1,F,Minor,74,64,73,6,0,10,6
My Universe,"Coldplay, BTS",2,2021,9,24,6127,13,1061966512.0,0,0,0,0,0,A,Major,58,42,68,1,0,14,4
LLYLM,ROSALï¿½,1,2023,1,27,1838,0,124988687.0,105,41,114,1,59,F#,Minor,56,56,63,13,0,19,27
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,301051721.0,23,95,11,0,3,A#,Minor,88,82,80,8,0,11,8
Boy's a liar,PinkPantheress,1,2022,11,30,1225,0,156338624.0,27,0,28,13,0,F,Major,66,74,84,25,0,21,4
Shirt,SZA,1,2022,10,28,3469,0,309653982.0,71,95,31,0,2,D#,Minor,82,55,45,15,3,9,10
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0,297328960.0,129,31,212,1,41,A,Major,25,17,30,90,0,13,3
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,16,480507035.0,47,60,87,12,124,E,Minor,57,47,84,1,1,52,4
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,4260,0,1065580332.0,113,92,259,0,1,B,Minor,65,80,86,9,0,19,10
"Hey, Mickey!",Baby Tate,1,2016,9,27,482,0,122763672.0,9,1,12,4,3,D,Major,92,73,51,55,0,15,6
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,1365184.0,13,78,2,0,0,G,Major,82,62,74,10,0,33,7
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,0,184308753.0,12,1,11,0,8,F#,Minor,44,38,77,9,0,9,20
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,658,6,120972253.0,33,7,53,2,0,A#,Minor,68,83,71,3,0,31,8
TV,Billie Eilish,1,2022,7,21,3009,2,338564981.0,68,89,65,0,25,E,Minor,41,9,25,84,1,14,4
I'm Not The Only One,Sam Smith,1,2014,1,1,17492,3,1606986953.0,136,24,"1,959",0,30,F,Major,68,50,49,56,0,8,4
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809.0,12,56,13,0,13,A#,Minor,71,83,89,1,0,17,9
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,556585270.0,128,84,75,0,35,C#,Major,46,34,64,31,0,7,34
Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973.0,532,77,"1,535",3,8,B,Minor,79,68,79,1,0,10,8
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,10,4057,8,872137015.0,78,21,240,1,52,E,Minor,41,9,61,2,0,12,5
Atlantis,Seafret,1,2015,4,22,3045,6,571386359.0,43,53,134,1,32,G#,Minor,40,23,48,5,0,12,3
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823.0,72,97,58,0,154,G#,Major,40,39,64,21,0,7,7
Die For You,Joji,1,2022,11,4,1703,0,246390068.0,38,45,36,16,0,G#,Major,47,15,52,38,13,29,5
Doja,Central Cee,1,2022,7,20,4169,44,482257456.0,57,44,183,1,11,F#,Major,91,97,57,38,0,40,29
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,0,78489819.0,39,45,27,0,1,C#,Minor,81,6,84,5,23,6,6
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0,195516622.0,12,22,12,0,2,G,Minor,49,24,66,19,0,18,29
Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497.0,120,86,164,4,0,C#,Major,64,44,65,28,0,14,12
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,0,1024858327.0,117,1,676,3,0,A#,Minor,63,20,55,72,0,6,6
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,0,213438580.0,34,54,34,0,2,D,Minor,58,17,62,18,0,20,8
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833.0,38,101,26,0,0,C#,Major,58,29,94,0,0,9,11
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8,2499,0,227918678.0,70,0,49,0,0,A,Major,70,31,34,60,1,11,4
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,1802514301.0,198,13,544,0,60,F#,Minor,70,92,83,1,0,7,6
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7,181831132.0,2,4,6,0,0,F,Minor,65,36,47,31,0,12,10
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,28,462791599.0,173,79,175,0,168,C#,Minor,84,70,69,1,0,5,5
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203.0,8,18,20,0,1,D,Major,69,40,39,41,0,13,6
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,2011,10,14,12353,0,807561936.0,35,0,549,0,0,E,Major,35,38,23,91,0,29,3
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,0,446390129.0,88,1,277,0,0,C#,Major,45,72,24,91,0,18,4
Sleigh Ride,The Ronettes,1,1963,11,22,10114,0,404664135.0,114,74,262,0,0,D,Major,53,84,77,40,0,32,3
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,0,94005786.0,7,29,3,0,0,A#,Minor,73,71,69,53,0,32,9
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16,1685,0,403939487.0,1,0,29,0,0,B,Major,75,74,58,36,0,9,3
SOS,SZA,1,2022,12,9,827,0,73981293.0,6,18,1,0,0,G,Minor,51,51,66,67,0,9,23
F2F,SZA,1,2022,12,9,989,0,67540165.0,5,9,1,0,0,D,Major,53,47,74,9,0,34,4
I Hate U,SZA,1,2021,12,3,4094,0,356709897.0,66,96,43,0,0,G,Minor,54,41,39,51,0,11,16
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992.0,3,7,10,0,0,G#,Major,80,15,54,9,0,38,5
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,0,127027715.0,65,39,41,0,0,F#,Minor,69,96,36,81,0,8,4
Conceited,SZA,1,2022,12,9,899,0,56870689.0,2,14,2,0,0,C#,Major,79,77,46,5,0,11,7
Maroon,Taylor Swift,1,2022,10,21,2304,0,317726339.0,12,16,14,0,0,G,Major,64,4,40,6,0,10,6
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0,116144341.0,21,0,44,0,0,E,Minor,89,48,74,30,0,7,36
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20,608228647.0,27,77,22,2,0,B,Minor,80,42,68,2,0,66,4
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,614555082.0,38,64,37,3,36,A,Major,83,47,80,2,0,24,9
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,78139948.0,2,2,6,0,2,F,Minor,33,51,59,76,0,44,6
Is There Someone Else?,The Weeknd,1,2022,1,7,2881,6,391251368.0,13,89,34,0,3,A,Minor,70,60,58,4,0,16,3
Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,0,674772936.0,183,63,465,0,11,B,Minor,85,64,81,2,5,7,9
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316.0,7,47,15,0,0,G,Minor,80,62,51,2,0,9,8
Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579.0,11,29,14,0,0,F#,Minor,74,35,73,0,0,21,5
Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803.0,17,80,38,0,0,A#,Minor,70,35,77,1,0,26,4
Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984.0,3,18,14,0,0,E,Minor,49,49,59,44,0,35,21
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,0,1575467011.0,382,65,497,0,12,G#,Major,77,74,66,30,0,13,3
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026.0,9,10,9,0,0,D,Major,75,85,84,10,0,31,19
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,0,539595276.0,68,18,75,0,1,C#,Major,68,72,78,4,0,7,5
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,578207856.0,67,13,139,0,40,D,Major,75,36,76,12,0,10,10
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,9151,6,656013912.0,240,107,268,0,5,G,Minor,75,46,76,3,0,9,4
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,648,1,240684449.0,14,3,81,0,0,F#,Minor,82,52,61,38,0,14,27
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7,1184,0,63803529.0,1,5,6,0,0,A#,Major,77,25,62,34,0,23,3
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,236940480.0,32,0,12,0,0,F,Minor,70,61,44,40,0,37,4
A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466.0,0,2,2,0,0,F,Minor,46,55,50,71,0,10,11
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,2780,2,393230256.0,54,21,57,1,0,E,Minor,79,79,70,57,0,66,8
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015.0,56,8,104,0,10,G,Major,40,7,29,62,0,9,3
Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206.0,33,102,93,0,30,D,Major,57,36,58,5,0,15,3
Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426.0,52,15,35,0,1,D,Major,83,11,41,0,0,36,14
Volvï¿,"Aventura, Bad Bunny",2,2021,8,3,5375,10,673801126.0,138,24,133,0,1,C#,Major,73,79,86,42,0,7,18
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797.0,188,75,268,6,16,D#,Minor,81,57,63,40,1,10,4
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,383550148.0,63,40,76,0,0,D,Major,63,85,62,6,0,35,4
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203.0,47,14,90,0,1,D,Major,77,40,47,2,0,9,3
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816.0,77,31,85,5,28,B,Minor,75,93,86,8,0,14,3
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229.0,69,3,70,0,3,C#,Minor,86,31,53,43,0,11,6
deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657.0,117,39,141,0,46,A,Major,44,22,60,61,0,42,9
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,261414174.0,17,5,21,0,0,D,Major,67,78,63,29,0,12,5
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621.0,101,34,70,1,2,F#,Major,66,63,69,21,0,11,7
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852.0,237,123,569,0,10,F,Major,59,72,62,18,0,9,3
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,0,566954746.0,171,51,187,1,21,B,Minor,77,51,79,20,0,26,6
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571.0,1,1,3,0,0,A,Minor,46,23,48,75,30,14,4
Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642.0,111,5,182,1,0,A#,Major,77,51,79,5,0,16,5
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939.0,3,0,5,0,0,C#,Major,68,29,73,0,0,7,7
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,154797871.0,13,27,8,0,0,E,Major,72,54,71,26,0,10,4
happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354.0,25,46,105,0,45,F#,Major,39,36,45,81,0,8,13
Praise God,Kanye West,1,2021,8,29,4651,0,376333030.0,24,6,105,0,0,C#,Major,80,21,55,1,0,26,17
Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237.0,205,130,625,0,25,D#,Major,45,19,60,63,0,9,6
Sky,Playboi Carti,1,2020,12,25,3297,3,506778838.0,25,3,52,0,1,D,Major,79,56,91,26,0,13,21
Sobrio,Maluma,1,2021,7,8,3506,10,513643924.0,103,76,100,1,1,F,Major,76,63,77,14,0,15,22
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503.0,60,17,154,0,22,G,Minor,96,71,42,57,0,8,9
The Business,Tiï¿½ï¿,1,2020,1,1,14311,0,1062345656.0,255,32,582,0,14,G#,Minor,80,24,62,41,2,11,23
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19,4873,0,851070493.0,65,88,434,3,13,C#,Major,75,96,61,0,0,18,4
The Feels,TWICE,1,2021,10,1,1150,0,345903614.0,20,99,44,0,2,A,Major,81,92,90,9,0,8,7
2055,Sleepy hallow,1,2021,4,14,2226,0,624515457.0,29,0,44,0,0,F#,Minor,78,65,52,46,0,12,31
Bored,Billie Eilish,1,2017,3,30,4204,0,777765388.0,39,45,250,0,0,G,Major,60,11,33,90,0,8,5
Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,1138474110.0,146,18,478,0,7,E,Minor,78,47,70,18,0,15,9
Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,1062956628.0,5,0,862,0,0,C#,Minor,52,7,61,51,0,11,3
you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974.0,167,19,318,0,1,E,Major,64,8,37,79,0,9,5
Take My Breath,The Weeknd,1,2021,8,6,6392,0,432702334.0,174,73,344,0,0,G#,Major,75,53,74,2,0,11,5
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149.0,8,8,8,2,0,G,Major,73,54,74,23,0,41,23
All of Me,John Legend,1,2013,8,1,27221,0,2086124197.0,308,118,"4,534",2,77,G#,Major,42,33,26,92,0,13,3
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,593917618.0,118,116,96,0,3,C#,Major,67,29,47,5,0,22,26
The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967.0,0,4,23,0,0,G#,Major,41,65,88,0,0,26,5
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704.0,306,99,"5,063",2,120,C#,Major,35,24,93,0,0,10,8
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771.0,2,12,10,0,0,E,Minor,60,40,89,9,0,60,6
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703.0,93,5,67,1,0,F#,Minor,74,79,66,11,0,8,16
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687.0,368,155,"2,854",6,121,G,Major,57,30,40,38,0,26,3
Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494.0,10,56,17,0,0,G,Minor,74,65,67,46,0,36,4
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573.0,209,54,710,0,18,D,Major,82,80,86,1,0,30,13
